loss : tensor(3.7223, device='cuda:0')   entropy : tensor(3.6596, device='cuda:0')
loss : tensor(3.0918, device='cuda:0')   entropy : tensor(3.5614, device='cuda:0')
loss : tensor(2.7427, device='cuda:0')   entropy : tensor(3.4579, device='cuda:0')
loss : tensor(2.9783, device='cuda:0')   entropy : tensor(3.3808, device='cuda:0')
loss : tensor(2.6443, device='cuda:0')   entropy : tensor(3.3078, device='cuda:0')
loss : tensor(2.0792, device='cuda:0')   entropy : tensor(3.1209, device='cuda:0')
loss : tensor(2.1255, device='cuda:0')   entropy : tensor(2.8753, device='cuda:0')
loss : tensor(2.2174, device='cuda:0')   entropy : tensor(2.6853, device='cuda:0')
loss : tensor(2.1440, device='cuda:0')   entropy : tensor(2.5661, device='cuda:0')
loss : tensor(2.0532, device='cuda:0')   entropy : tensor(2.4096, device='cuda:0')
loss : tensor(1.7019, device='cuda:0')   entropy : tensor(2.3037, device='cuda:0')
loss : tensor(1.6245, device='cuda:0')   entropy : tensor(2.2128, device='cuda:0')
loss : tensor(2.0246, device='cuda:0')   entropy : tensor(2.0953, device='cuda:0')
loss : tensor(1.7285, device='cuda:0')   entropy : tensor(1.9653, device='cuda:0')
loss : tensor(2.2576, device='cuda:0')   entropy : tensor(1.7933, device='cuda:0')
loss : tensor(1.8016, device='cuda:0')   entropy : tensor(1.6824, device='cuda:0')
loss : tensor(1.8757, device='cuda:0')   entropy : tensor(1.6878, device='cuda:0')
loss : tensor(1.7341, device='cuda:0')   entropy : tensor(1.6858, device='cuda:0')
loss : tensor(1.7891, device='cuda:0')   entropy : tensor(1.6418, device='cuda:0')
loss : tensor(1.7806, device='cuda:0')   entropy : tensor(1.6594, device='cuda:0')
loss : tensor(2.2893, device='cuda:0')   entropy : tensor(1.6423, device='cuda:0')
loss : tensor(1.7095, device='cuda:0')   entropy : tensor(1.5356, device='cuda:0')
loss : tensor(1.9804, device='cuda:0')   entropy : tensor(1.7291, device='cuda:0')
loss : tensor(1.7119, device='cuda:0')   entropy : tensor(1.5331, device='cuda:0')
loss : tensor(1.9832, device='cuda:0')   entropy : tensor(1.4463, device='cuda:0')
loss : tensor(2.3884, device='cuda:0')   entropy : tensor(1.4582, device='cuda:0')
loss : tensor(1.8909, device='cuda:0')   entropy : tensor(1.4480, device='cuda:0')
loss : tensor(1.6812, device='cuda:0')   entropy : tensor(1.3590, device='cuda:0')
loss : tensor(2.1165, device='cuda:0')   entropy : tensor(1.3035, device='cuda:0')
loss : tensor(2.1084, device='cuda:0')   entropy : tensor(1.2993, device='cuda:0')
loss : tensor(2.0379, device='cuda:0')   entropy : tensor(1.4261, device='cuda:0')
loss : tensor(2.1030, device='cuda:0')   entropy : tensor(1.4806, device='cuda:0')
loss : tensor(2.1806, device='cuda:0')   entropy : tensor(1.4315, device='cuda:0')
loss : tensor(1.9751, device='cuda:0')   entropy : tensor(1.2725, device='cuda:0')
loss : tensor(1.9123, device='cuda:0')   entropy : tensor(1.2050, device='cuda:0')
loss : tensor(2.1155, device='cuda:0')   entropy : tensor(1.2041, device='cuda:0')
loss : tensor(1.9249, device='cuda:0')   entropy : tensor(1.1818, device='cuda:0')
loss : tensor(1.5512, device='cuda:0')   entropy : tensor(1.3172, device='cuda:0')
loss : tensor(1.9818, device='cuda:0')   entropy : tensor(1.1654, device='cuda:0')
loss : tensor(1.8282, device='cuda:0')   entropy : tensor(1.1051, device='cuda:0')
loss : tensor(1.8880, device='cuda:0')   entropy : tensor(1.0924, device='cuda:0')
loss : tensor(2.0172, device='cuda:0')   entropy : tensor(1.0680, device='cuda:0')
loss : tensor(3.3543, device='cuda:0')   entropy : tensor(3.6578, device='cuda:0')
----------------------- n_playout = 20 ---------------------------------------------loss : tensor(3.4612, device='cuda:0')   entropy : tensor(3.6290, device='cuda:0')
loss : tensor(2.9112, device='cuda:0')   entropy : tensor(3.5656, device='cuda:0')
loss : tensor(2.6354, device='cuda:0')   entropy : tensor(3.4227, device='cuda:0')
loss : tensor(2.6210, device='cuda:0')   entropy : tensor(3.3200, device='cuda:0')
loss : tensor(2.8658, device='cuda:0')   entropy : tensor(3.2009, device='cuda:0')
loss : tensor(2.0686, device='cuda:0')   entropy : tensor(3.0682, device='cuda:0')
loss : tensor(3.8908, device='cuda:0')   entropy : tensor(3.6978, device='cuda:0')
loss : tensor(3.9905, device='cuda:0')   entropy : tensor(3.6772, device='cuda:0')
loss : tensor(3.4016, device='cuda:0')   entropy : tensor(3.6374, device='cuda:0')
loss : tensor(3.0328, device='cuda:0')   entropy : tensor(3.5957, device='cuda:0')
loss : tensor(3.2695, device='cuda:0')   entropy : tensor(3.5591, device='cuda:0')
loss : tensor(2.9466, device='cuda:0')   entropy : tensor(3.4767, device='cuda:0')
loss : tensor(2.9216, device='cuda:0')   entropy : tensor(3.3641, device='cuda:0')
loss : tensor(2.5255, device='cuda:0')   entropy : tensor(3.2998, device='cuda:0')
loss : tensor(2.6608, device='cuda:0')   entropy : tensor(3.1296, device='cuda:0')
loss : tensor(2.1237, device='cuda:0')   entropy : tensor(2.8994, device='cuda:0')
